변수,chi2,df,p값,유의(p<.001),유의도,논문유의_n1100
안전조직수준,1.538,1,0.21487235457341478,False,,False
위원회수준,2.047,1,0.1525165405678376,False,,False
인증보유,1.04,1,0.3077744714771626,False,,False
전문지도,0.079,1,0.7783496814664035,False,,False
고용노동부감독,41.05,1,1.484082818335542e-10,True,***,True
안전보건공단지원,23.261,1,1.4140993089647565e-06,True,***,True
공사규모,35.776,2,1.7038276788127807e-08,True,***,True
발주처,21.68,2,1.9595730351893592e-05,True,***,True
기성공정률,105.819,5,3.130659877971177e-21,True,***,True
공사종류,52.407,6,1.5442183606281672e-09,True,***,True
