변수,mean|SHAP|,Permutation Importance,PI SD,LR p값 (M4)
기성공정률_1,0.07473,0.07131,0.00948,0.0
공사규모_1,0.0454,0.03725,0.01206,0.0001
안전보건공단지원,0.04506,0.00478,0.02133,0.0937
기성공정률_2,0.04062,0.04919,0.01411,0.0001
고용노동부감독,0.03615,0.00247,0.01187,0.9725
발주처_1,0.03363,0.0128,0.01597,0.0964
외국인비율,0.03244,0.02487,0.01591,0.4103
공사종류_6,0.0205,0.00037,0.00843,0.349
정리정돈상태,0.01829,0.00443,0.01036,0.1329
위원회수준,0.01712,0.00633,0.01167,0.3197
교육훈련도움,0.0153,0.01229,0.00904,0.8756
공사종류_5,0.01283,0.00949,0.01372,0.2429
기성공정률_5,0.0092,0.00395,0.0042,0.3007
발주처_3,0.0084,0.00483,0.00358,0.4505
인증보유,0.00668,0.00162,0.00513,0.3437
공사종류_1,0.00651,0.01859,0.0075,0.001
작업중지권,0.00574,0.00328,0.00956,0.7395
작업반장기여,0.00569,-0.00641,0.01015,0.9971
전문지도,0.00548,0.00363,0.00646,0.841
공사종류_4,0.00496,0.00493,0.00247,0.0003
공사규모_3,0.0039,-0.00283,0.00454,0.051
기성공정률_6,0.00379,-0.00663,0.00331,0.8802
위험성평가수준,0.00342,0.00342,0.0046,0.5942
공사종류_3,0.00327,-0.00367,0.00552,0.0006
기성공정률_4,0.00239,-0.00821,0.00364,0.1199
공사종류_2,0.00061,0.0,0.0,0.004
안전조직수준,0.00042,0.00084,0.00251,0.805
