변수,β,SE,z,p값,OR,OR 95%CI 하한,OR 95%CI 상한,유의도
const,-1.2568,0.093,-13.521,0.0,0.2846,0.2372,0.3414,***
공사규모_1,-0.3645,0.0942,-3.868,0.0001,0.6946,0.5774,0.8354,***
공사규모_3,0.1703,0.0887,1.919,0.0549,1.1856,0.9964,1.4108,
발주처_1,-0.1747,0.1028,-1.699,0.0893,0.8397,0.6865,1.0272,
발주처_3,-0.042,0.0802,-0.523,0.6008,0.9589,0.8193,1.1222,
기성공정률_1,-0.8533,0.1352,-6.312,0.0,0.426,0.3269,0.5553,***
기성공정률_2,-0.3703,0.097,-3.817,0.0001,0.6905,0.5709,0.8351,***
기성공정률_4,0.1375,0.0858,1.603,0.1089,1.1474,0.9699,1.3574,
기성공정률_5,-0.0958,0.0881,-1.087,0.2768,0.9086,0.7646,1.0799,
기성공정률_6,0.0186,0.0841,0.222,0.8247,1.0188,0.864,1.2013,
공사종류_1,0.6201,0.2111,2.937,0.0033,1.8591,1.2291,2.8118,**
공사종류_2,0.2902,0.1114,2.604,0.0092,1.3366,1.0744,1.6629,**
공사종류_3,0.6129,0.189,3.243,0.0012,1.8457,1.2744,2.6731,**
공사종류_4,0.5799,0.1736,3.34,0.0008,1.7859,1.2707,2.5099,***
공사종류_5,0.1391,0.1488,0.935,0.3498,1.1493,0.8586,1.5385,
공사종류_6,0.1388,0.1594,0.871,0.3837,1.1489,0.8407,1.5702,
외국인비율,0.0693,0.0806,0.86,0.3898,1.0718,0.9151,1.2552,
안전조직수준,0.0782,0.129,0.606,0.5445,1.0813,0.8397,1.3924,
위원회수준,-0.0913,0.0869,-1.05,0.2938,0.9128,0.7698,1.0823,
인증보유,-0.0904,0.0887,-1.019,0.3084,0.9136,0.7678,1.0871,
위험성평가수준,0.0935,0.0946,0.988,0.3231,1.098,0.9122,1.3218,
교육훈련도움,-0.0225,0.1014,-0.222,0.8242,0.9777,0.8016,1.1926,
정리정돈상태,-0.168,0.1024,-1.641,0.1008,0.8453,0.6916,1.0332,
작업중지권,0.0366,0.0982,0.372,0.7097,1.0372,0.8556,1.2574,
작업반장기여,0.0368,0.106,0.347,0.7284,1.0375,0.8428,1.2771,
전문지도,-0.015,0.0789,-0.191,0.8489,0.9851,0.8439,1.1499,
고용노동부감독,0.0212,0.086,0.247,0.805,1.0215,0.863,1.209,
안전보건공단지원,0.1793,0.1024,1.751,0.0799,1.1964,0.9789,1.4621,
