변수,β,SE,z,p값,OR,OR 95%CI 하한,OR 95%CI 상한,유의도,p<0.20
작업반장기여__x__전문지도,-0.1833,0.0954,-1.921,0.0547,0.8325,0.6905,1.0037,,True
인증보유__x__고용노동부감독,0.1608,0.0866,1.856,0.0634,1.1744,0.9911,1.3917,,True
작업중지권__x__전문지도,0.1363,0.0949,1.437,0.1508,1.1461,0.9516,1.3803,,True
위험성평가수준__x__고용노동부감독,-0.1277,0.1022,-1.25,0.2114,0.8801,0.7203,1.0753,,False
위험성평가수준__x__안전보건공단지원,0.1089,0.0954,1.142,0.2536,1.1151,0.9249,1.3444,,False
위원회수준__x__고용노동부감독,-0.1018,0.0911,-1.118,0.2635,0.9032,0.7556,1.0797,,False
정리정돈상태__x__고용노동부감독,0.1138,0.1061,1.073,0.2833,1.1205,0.9102,1.3794,,False
작업반장기여__x__고용노동부감독,-0.1001,0.1036,-0.966,0.3341,0.9048,0.7385,1.1085,,False
정리정돈상태__x__전문지도,0.0905,0.0969,0.934,0.35,1.0948,0.9054,1.3237,,False
안전조직수준__x__전문지도,-0.0923,0.1006,-0.917,0.359,0.9119,0.7487,1.1106,,False
위원회수준__x__전문지도,-0.0695,0.0819,-0.849,0.3957,0.9328,0.7946,1.0952,,False
작업중지권__x__고용노동부감독,0.0818,0.1032,0.792,0.4284,1.0852,0.8864,1.3286,,False
안전조직수준__x__안전보건공단지원,0.0635,0.0817,0.777,0.4372,1.0655,0.9079,1.2505,,False
안전조직수준__x__고용노동부감독,0.0807,0.1076,0.75,0.4534,1.084,0.8779,1.3385,,False
교육훈련도움__x__고용노동부감독,-0.0759,0.1041,-0.729,0.4659,0.9269,0.7558,1.1367,,False
인증보유__x__안전보건공단지원,-0.0652,0.1019,-0.64,0.5221,0.9369,0.7673,1.1439,,False
작업중지권__x__안전보건공단지원,-0.0729,0.1179,-0.618,0.5364,0.9297,0.7378,1.1714,,False
위원회수준__x__안전보건공단지원,0.0519,0.0933,0.556,0.5784,1.0532,0.8772,1.2646,,False
인증보유__x__전문지도,0.041,0.0799,0.513,0.6077,1.0419,0.8909,1.2184,,False
교육훈련도움__x__안전보건공단지원,0.049,0.1131,0.433,0.665,1.0502,0.8414,1.3107,,False
위험성평가수준__x__전문지도,-0.0363,0.0867,-0.419,0.6755,0.9644,0.8137,1.1429,,False
정리정돈상태__x__안전보건공단지원,0.0402,0.1116,0.361,0.7184,1.0411,0.8365,1.2956,,False
교육훈련도움__x__전문지도,-0.0228,0.1005,-0.227,0.8202,0.9774,0.8026,1.1903,,False
작업반장기여__x__안전보건공단지원,0.022,0.1313,0.168,0.8668,1.0223,0.7903,1.3224,,False
